Model,MSE,RMSE,MAE,r,R2,RRMSE,NSE,WI,Fit Time (s)
MLP,0.003632,0.019058,0.014749,0.97836,0.976861,1.019416,0.956861,0.904336,5.033147
Decision Tree,0.005338,0.023104,0.017933,0.972849,0.965992,1.023539,0.945992,0.903995,7.726721
KNN,0.006687,0.025859,0.018748,0.968468,0.957399,2.026345,0.94174,0.905831,9.407264
Random Forest,0.016962,0.041185,0.034009,0.964425,0.891939,3.041959,0.931939,0.772682,10.40191
SVR,0.030546,0.055268,0.050311,0.957443,0.805403,4.056307,0.928054,0.667838,12.144048
